Room,Area,Year,Price
3,80,2016,22000000
1,37,2007,13100000
3,110,2016,30000000
3,93,2016,39500000
4,188,2016,77000000
2,72,2016,27500000
4,97.2,2011,38000000
2,66,2017,33000000
3,80,2016,27000000
3,85.1,2009,27000000
3,143,2014,85000000
3,94.5,2016,50000000
1,46,2019,17000000
3,68.2,1993,16500000
3,73,2013,23999999
1,29,1964,10700000
3,100,2019,43500000
2,63.3,2009,23500000
2,60.4,2016,23700000
2,51.2,2014,18650000
3,80,2016,22000000
1,37,2007,13100000
3,110,2016,30000000
3,93,2016,39500000
4,188,2016,77000000
2,72,2016,27500000
4,97.2,2011,38000000
2,66,2017,33000000
3,80,2016,27000000
3,85.1,2009,27000000
3,143,2014,85000000
3,94.5,2016,50000000
1,46,2019,17000000
3,68.2,1993,16500000
3,73,2013,23999999
1,29,1964,10700000
3,100,2019,43500000
2,63.3,2009,23500000
2,60.4,2016,23700000
2,51.2,2014,18650000
4,190,2008,80800000
2,59,2019,20300000
3,98,2011,33000000
1,35,2018,14300000
3,103.9,2008,35000000
1,33,1980,13500000
3,84,2017,35000000
3,107.5,2005,35500000
1,44,2014,16900000
3,144,2007,37000000
1,39.27,2019,15200000
3,150,2008,40000000
4,144,2018,105000000
4,140,2009,37000000
4,76,1991,24300000
4,173.7,2013,125000000
3,82,2007,27000000
2,51,1996,16400000
3,93,2019,44800000
3,95,2017,43000000
3,81.3,2015,26700000
1,36.6,2019,13500000
5,203,2017,214500000
2,52.4,1983,16000000
1,43,2016,14000000
4,72,1985,17000000
1,35.5,2018,13700000
1,40,2019,14900000
2,53,1992,18000000
1,38.3,2019,14300000
2,72.4,2019,20500000
2,48,2016,18500000
1,41,2019,12000000
3,130,2016,75000000
1,43,2012,13700000
3,60.5,1972,18000000
2,59.9,2018,29900000
1,39,2019,9100000
1,41,2018,18000000
3,68,1990,20000000
3,61,1976,15000000
2,67,2009,20500000
2,65.5,2008,24000000
3,78,2011,25900000
3,94,2019,32000000
1,36.4,2018,15000000
3,83,2011,27000000
2,63,2014,24900000
3,56.6,1986,18500000
1,45,2010,14500000
1,43.69,2019,17000000
2,70,2018,23000000
2,83,2018,29000000
1,36,2019,14600000
3,68,1991,20500000
2,56.5,2018,21500000
2,48,2007,15800000
3,143,2001,60000000
2,105,2015,38500000
2,36,2009,17300000
4,122,2018,60000000
2,67.7,2007,20000000
1,35,2017,15500000
1,44,2018,19000000
3,70,2008,25999999
3,122,2007,45500000
4,191,2009,75000000
2,60,2019,20600000
1,40.6,2019,14400000
1,35,2014,10300000
2,56,2014,13500000
2,89.14,2018,46352800
3,60.5,1989,15900000
2,56,2010,22600000
3,60,1990,25500000
3,82,2008,32000000
3,140,2012,47000000
2,56,2010,21000000
4,189,2016,49000000
3,112,2007,35000000
1,49,2011,13000000
3,80,1967,30000000
1,39.07,2019,13300000
2,60.01,2019,25300000
1,28.4,2016,10500000
1,41.3,2019,13500000
1,49,2019,10200000
1,38,2004,11999999
2,54.9,2017,24000000
3,74.4,2013,29200000
3,145.78,2018,75805600
3,78,2015,30000000
2,59,2019,29900000
2,75,2018,37000000
1,43,2017,17000000
6,220,2014,85000000
3,75,2014,22500000
3,120.2,2012,42000000
2,60.6,2015,18000000
3,150,2017,46000000
1,40.16,2020,9000000
2,52,1989,16000000
2,47,1980,13000000
4,146,2019,68000000
3,83.8,2015,25000000
2,70,2010,20000000
3,90,2015,27000000
3,130,2013,40800000
1,34,2019,12500000
3,53,1980,16000000
3,93,2017,39000000
1,35,2019,9200000
3,75,2009,30000000
3,110,2014,75000000
2,66.4,2019,32000000
3,153.17,2018,79648400
2,80,2001,24500000
2,74.8,2015,29800000
1,45,2018,17500000
2,60,2005,18500000
1,39.07,2019,12800000
3,92,2006,28500000
2,80,2018,25800000
3,140,2010,42000000
4,180,2015,60000000
2,53,2019,24000000
2,54,2009,17800000
1,40,2019,14200000
2,60.4,2012,17500000
4,130,2007,47000000
2,58.5,2015,18500000
1,38,2019,11900000
4,196.44,2018,102148800
1,35,2019,12000000
4,150,2014,105000000
3,79,2007,25000000
3,70,2010,26000000
2,67.7,2011,20200000
2,65,2020,17500000
3,96.5,2008,26000000
3,61,2019,23800000
2,76,2013,22000000
1,35,2019,10000000
2,56,2010,18000000
2,62,2019,24800000
3,75,2010,25000000
3,91,2020,26390000
2,75,2005,32000000
4,160,2015,136000000
2,58,2011,21000000
4,135,2018,38500000
2,80,2018,25000000
3,98.5,2004,38000000
4,152.5,2007,80000000
2,64.1,2010,17000000
1,21,2008,8000000
2,68,2007,22890000
2,87.79,2019,32500000
1,41,2017,17000000
2,60,2017,24500000
4,104,1998,35000000
1,36.32,2019,11850000
1,36.32,2019,12000000
3,80,2013,25500000
2,75,2014,20000000
3,100.7,2012,29000000
1,32,2016,13000000
2,58,2008,18000000
3,62,2000,17700000
1,31,2000,12500000
1,32,2010,11550000
2,58.5,2015,22500000
3,93,2020,26970000
5,249.22,2018,129594400
2,75,2006,35000000
2,47,1990,11500000
2,57.5,2014,26000000
2,70,2008,30300000
1,47.7,2006,15500000
4,140,2019,86000000
2,84,2010,24000000
1,39.8,2010,12500000
1,34.3,2015,16500000
1,46,2017,20000000
2,72.7,2016,34700000
4,117,2008,45000000
4,120,2018,63500000
1,45,2009,14300000
3,90,2018,31700000
4,120,2008,41000000
1,39,2018,16999999
2,124.4,2014,49000000
3,77,2006,27000000
3,59,1965,17450000
3,87,2013,34500000
3,98.4,2017,45800000
2,77,2008,29000000
3,115,2013,29900000
2,69,2012,22000000
2,59,2019,20999999
1,46,2016,25000000
1,40,2017,16400000
3,112,2017,55000000
4,107,2020,31030000
1,40,2018,13300000
3,96.45,2019,42000000
2,53,2019,11000000
2,63,2009,18500000
2,49.6,1985,17400000
1,40,2008,13000000
3,140,2012,51000000
1,35,2010,11500000
2,45.8,1965,12000000
2,61.5,2017,21000000
5,256.33,2018,133291600
4,109.8,2018,58000000
1,37.7,2015,12000000
2,68,2004,20500000
1,39,2019,11900000
1,37,2019,12900000
2,72,2019,18000000
3,110,2020,31900000
1,50,2008,23700000
2,58,2019,11500000
2,89.5,2008,39000000
1,31,2020,10100000
4,85,2018,48900000
4,150,2010,59500000
2,57.4,2007,16000000
1,31,2018,12800000
1,36,2020,11000000
1,38.6,2019,14700000
3,140,2012,62000000
3,68,2005,23000000
3,110,2015,44000000
1,59,2018,12980000
4,140.87,2019,55500000
2,82,2007,32000000
3,82.2,2016,33000000
2,80,2012,29999999
4,101,2015,38000000
3,54,1990,15100000
4,143,2018,53000000
2,54,1987,17200000
1,39.5,2017,17500000
2,63,2014,15000000
4,136,2005,50000000
4,176.5,2006,65000000
3,90,1999,24499000
2,80.1,2011,27500000
3,103.3,2014,37200000
3,100.6,2009,24500000
2,95,2009,29500000
2,60.9,2017,32000000
3,94.4,2008,37500000
3,105,2017,29000000
4,128,2020,37120000
3,91.1,2019,47000000
7,346.24,2018,180044800
3,151,2019,71000000
2,54,2000,18500000
3,76.09,2014,25500000
3,105,2019,53000000
3,88,2019,39000000
3,96,2019,27500000
3,84,2006,26999990
1,35,2018,12800000
3,118.6,2015,37500000
1,39.8,2010,12500000
3,64,1994,24000000
3,72,2009,26500000
3,86,2006,27000000
4,117,2007,55000000
4,180,2017,67000000
2,77.3,2018,29500000
4,104,2011,27500000
3,72.4,2015,23500000
1,18.3,1985,5700000
4,78,1985,20100000
1,38.44,2019,14700000
1,41,2019,13300000
4,112.7,2004,39000000
2,67,2007,23000000
1,50.3,2014,28500000
1,38,2019,21000000
2,73,2016,27500000
3,99.7,2012,28800000
2,65.4,2004,24000000
1,44.2,2014,17000000
2,56,2019,21000000
1,36.2,2017,17500000
1,47.2,2015,19500000
2,63,2012,18500000
4,132,2016,65000000
2,70.13,2019,17000000
3,91,2019,37500000
3,82.3,2017,35000000
3,86,2006,23500000
4,108,2016,37000000
2,70,2014,22000000
1,45.62,2019,18100000
2,60.3,2019,20800000
4,140,2016,55500000
1,45,2015,9700000
2,67,2018,26980000
2,63.2,2019,30900000
3,60,1969,14500000
1,37,2008,11500000
1,37.5,2019,15600000
2,80.06,2019,36000000
1,47.31,2019,17500000
4,64.8,1971,21000000
2,68,2012,24000000
3,95,2012,34300000
1,38,2019,12600000
2,44.1,1962,14800000
2,66.2,2017,21500000
1,57,2011,14000000
1,45.3,2016,16500000
2,47,1978,11000000
1,54,2015,16800000
2,52,2015,17000000
3,89.92,2019,31200000
3,105,2015,65000000
2,61.66,2018,24600000
2,47,1966,14500000
3,88,2008,28500000
1,48,2018,15000000
1,35.9,2012,12000000
1,46.9,2010,19500000
1,38.2,2019,12700000
2,44.1,1981,13600000
4,87,1987,25000000
2,66.5,2007,23300000
3,75,2004,24990000
1,20.1,2008,8000000
2,54,2019,14000000
2,82,2009,26000000
2,40,2017,14200000
2,66.4,2019,24800000
1,40.5,2019,15500000
2,75,2014,24300000
2,60,2004,18500000
2,65,2014,25500000
1,37.1,2018,14000000
4,120.3,2017,70000000
2,59,2019,20900000
1,36,2011,13500000
3,125,2016,42500000
4,221,2018,182000000
3,118.4,1997,47000000
3,81,2019,30400000
1,50,2006,20000000
1,48,2013,14600000
2,61,2010,25000000
2,77,2010,25500000
3,113,2018,36160000
1,46.4,2019,13200000
4,129.6,2019,42000000
1,30,2015,9000000
3,90,2019,43500000
3,81,2019,30400000
1,48,2013,14600000
2,75.5,2009,26000000
2,48.5,2010,16000000
2,57,2008,22500000
3,129,2016,88000000
1,42.77,2019,16600000
2,47,2011,14900000
3,76,2015,23000000
2,55.2,2010,18000000
2,52.7,1999,16000000
3,82.7,2014,35000000
2,44,2017,9000000
2,70,2015,25000000
2,61,2019,20000000
2,64,2010,16000000
2,65.4,2009,23000000
4,125,2003,37800000
1,29.1,1982,11500000
2,45.2,2012,16500000
1,30,2013,10700000
2,86,2010,36000000
1,42,2005,17000000
2,45,2019,18000000
1,35,2014,13000000
2,49,1980,15000000
1,31.7,1965,9500000
2,70.1,2014,23300000
1,42.5,2019,17400000
3,101.7,2019,44500000
1,40,2006,15500000
1,30,2013,10700000
3,59.6,1970,18000000
2,84,2010,36000000
2,128,2016,48000000
1,43,2016,17500000
1,21,2006,7500000
3,95,2008,28000000
3,72,1997,25000000
4,172,2015,105000000
3,160,2014,45000000
4,113,1979,25000000
2,55,2009,20500000
2,55,2009,20500000
1,26.2,2010,9500000
1,40,2017,15000000
1,45,2006,17000000
2,55,2008,17500000
5,282,2006,89000000
2,55,2009,20500000
1,42,2019,15000000
5,142,2009,39000000
4,137.3,2018,60000000
3,120,2008,46000000
2,64,2016,26000000
3,80,2010,25000000
2,55,2009,20500000
2,60,2018,27000000
2,45,1968,14000000
2,56,2008,19000000
1,34,2016,11000000
3,100,2019,45000000
4,151,2011,51000000
2,63,2012,19999000
1,43,2009,10900000
5,200,2008,88000000
1,42,2019,13000000
1,36.5,2010,11500000
3,130,2014,80000000
3,87.7,2010,28250000
2,65,2009,16800000
3,100,2008,35000000
2,80,2018,32500000
2,44.7,2011,18000000
1,38,2019,14200000
3,90,2008,43500000
1,42.1,2015,18500000
4,130,2009,48000000
2,45,1963,13500000
3,62.6,1989,18500000
1,43.1,2018,15300000
2,58,2010,18500000
4,72,1965,30700000
2,65.4,2012,27500000
2,57,2015,22000000
2,42.2,1964,12000000
2,47,2011,14500000
3,87.59,2011,25000000
2,48.5,1989,15000000
2,58.6,2016,19000000
1,44.61,2019,18500000
2,65,2011,28000000
3,94,2007,33000000
2,72,2008,26000000
2,55,2016,16000000
2,90,2009,32000000
1,18,1980,5000000
1,42.9,2015,13500000
3,70,2012,24000000
3,79,2015,26000000
2,51,2007,18200000
2,50.73,2019,17800000
2,42,1986,12300000
3,87.1,2008,23000000
3,73,2015,27000000
1,13,1980,4000000
2,50.2,2012,17000000
1,42,2016,15499999
3,98,2018,43000000
2,72.4,2016,21900000
3,95,2011,35000000
2,54,2010,21500000
3,72,2009,19200000
2,50,2004,14000000
4,110.3,2010,35000000
2,46.7,1976,13500000
2,63,2007,19000000
3,111.73,2019,58100000
3,67.1,2015,24000000
3,70,2012,30000000
2,68,2019,30000000
4,122,2015,48000000
1,38,2017,14500000
1,38,2017,11000000
3,50,1967,14000000
3,90,2008,29000000
1,42.7,2010,13000000
3,115,2006,38500000
3,60,1993,22000000
2,70,2010,19000000
1,42,2018,21000000
2,50,1992,19000000
3,100,2008,25000000
1,28.9,1986,8500000
2,66.8,2019,29500000
1,50,2006,14500000
3,58.3,1974,19500000
2,51,1986,18500000
1,46,2019,14200000
2,13,2014,18000000
3,93,1990,25000000
3,95,2016,37000000
1,30.8,1962,12000000
1,38,2011,12200000
2,50,1989,11200000
3,83,2006,27500000
3,61,1965,15000000
2,56.4,2009,27500000
1,49.8,2016,21500000
4,230,2007,150000000
2,57,2017,27500000
1,20,2000,7500000
3,89,1989,22800000
3,141.7,2009,56000000
2,56,1987,13800000
2,70,2016,20000000
1,44,2009,14500000
1,44,2009,14500000
1,45,2010,19500000
3,80,2016,26000000
1,45,2010,16000000
2,45,2020,13000000
1,19,2004,5200000
3,95,2007,32000000
3,84.8,2013,30500000
4,183,2008,60000000
2,72.5,2014,19500000
1,38,2012,14700000
2,52,1992,16000000
1,41,2016,17300000
1,39,2008,13500000
4,106,2019,26000000
2,50.6,2016,17700000
3,117,2018,49500000
2,66.8,2005,23599900
1,48,2008,16000000
3,130,2013,36000000
3,89.1,2006,33000000
2,64.35,2015,18800000
1,18.5,1979,4000000
3,98,2002,33000000
1,34,2016,12500000
4,117.2,2003,40000000
4,63,1970,13500000
2,76.2,2018,22000000
2,47,1978,16500000
4,100,2015,34500000
1,35.7,1986,12500000
1,30,2010,7000000
2,54,2010,15000000
3,62.7,1987,21999999
1,56.6,2013,15500000
3,143,2008,45000000
1,37,2019,9125000
2,62,2017,23000000
2,70,2016,26000000
2,71,2001,29500000
1,17,1980,4500000
2,58.7,2015,18000000
